,date,title,summary
2908,2018.12.27.,[기자수첩]조선사 노조도 변해야 산다,여기에 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 지난 2016·2017년 부진했던 수주량에 따라 내년에도 쉽지 않은 해가 될 것이라고 업계는 우려한다. 올해 수주 실적은 2020년이 돼서야...
2909,2019.01.01.,세계 1위 탈환한 '조선 빅3'…올 수주 목표 높인다,지난해 63억달러 규모의 선박 건조계약을 따내 목표(82억달러) 대비 달성률 77%를 기록한 삼성중공업은 원유와 가스 시추·생산 설비인 해양플랜트 수주 확대에 기대를 걸고 있다. 이 회사는 수주 잔량 기준으로...
2910,2018.12.17.,"""美 금리 인상하면…사우디 등 산유국 수출 직격탄""","- 한은, ''美 통화정책이 원자재 수출국·수입국에 미치는 영향'' 한 원유시추시설 모습. 사진=AFP[이데일리 김정현 기자] 미국이 긴축적인 통화정책을 펴면 원자재 수출국의 수출이 큰 폭 줄어들 수 있다는 연구결과가..."
2911,2018.12.19.,"수주절벽 조금 풀리자…조선 빅2 노조 ""구조조정 멈추고 임금 올려라""",회복세를 띠고 있는 조선과 달리 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 현대중공업은 2014년 11월 아랍에미리트(UAE) 나스르 해양플랜트 이후 추가 수주가 끊겨 지난 8월 말부터...
2912,2018.12.19.,두달만에 40% 급락…한국경제 유가 폭락에 미끄러지나,미국 텍사스주의 한 지역에 위치한 원유 시추기. 사진=연합뉴스 제공[이데일리 김정남 기자] 예기치 못한 국제유가 폭락이 한국 경제의 돌발악재로 떠오르고 있다. 유가는 최근 두달여 만에 무려 40% 떨어졌다....
2913,2018.12.20.,두 달동안 40%나… 기름값 미끄러졌다,"하루만에 7% 폭락… 美 원유 공급 과잉·경기 둔화 겹쳐 '국제유가는 하락이 유일한 행로다.'(영국... 2014 ~2016년 유가 하락 시기에 오일산업 관련 일자리 16만개가 사라졌고, 수많은 시추업체가 부도났다. 흥국증권은..."
2914,2018.12.21.,"""미끄러지는 유가""…생산자물가 '뚝' 수출업종은 '초긴장'",유가가 떨어지면 해양플랜트와 시추선 발주가 줄어든다. 건설 역시 마찬가지다. 원유 수출을 주요 재정 수입원으로 삼는 중동에서 플랜트 수요가 급감하면 해외 매출이 부진해진다. 유가 하락으로 비용을 아낄 수...
2915,2018.12.25.,사라진 화이트 크리스마스…온난화에 지구촌 산타마을 '울상' [월드이슈],"가디언은 “상황이 이런데도 알래스카 상원의원은 원유 시추 공사를 늘리고, 북극의 해빙이 사업에 도움이 된다며 기후변화를 방조하고 있다”고 지적했다. AP연합뉴스산타에게 시민권을 주고 산타 웃음소리를 따..."
2916,2018.12.26.,대우조선 1.2조 드릴십 2척 앙골라 소낭골에 내년초 인도,"수주 5년만에 인도 확정 ""조기 경영정상화 청신호"" 대우조선해양이 수년째 팔지 못해 골칫거리였던 1조원 규모 '소낭골 드릴십(이동식 원유시추선·사진) 2기'를 내년 초 인도하며 장기 경영 리스크를 해소한다...."
2917,2018.12.27.,대우조선 애물단지 ‘소낭골 드릴십’ 인도,"앙골라 상황 개선에 협상 급물살… 2척 내년 1, 3월 순차적 보내기로 대금 9000억 확보… 재무개선 숨통 대우조선해양이 골칫거리였던 소낭골 드릴십(원유 시추선·사진)을 드디어 인도한다. 인도와 대금 지급이..."
2918,2018.12.27.,[기자수첩]조선사 노조도 변해야 산다,여기에 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 지난 2016·2017년 부진했던 수주량에 따라 내년에도 쉽지 않은 해가 될 것이라고 업계는 우려한다. 올해 수주 실적은 2020년이 돼서야...
2919,2019.01.01.,세계 1위 탈환한 '조선 빅3'…올 수주 목표 높인다,지난해 63억달러 규모의 선박 건조계약을 따내 목표(82억달러) 대비 달성률 77%를 기록한 삼성중공업은 원유와 가스 시추·생산 설비인 해양플랜트 수주 확대에 기대를 걸고 있다. 이 회사는 수주 잔량 기준으로...
2920,2018.12.17.,"""美 금리 인상하면…사우디 등 산유국 수출 직격탄""","- 한은, ''美 통화정책이 원자재 수출국·수입국에 미치는 영향'' 한 원유시추시설 모습. 사진=AFP[이데일리 김정현 기자] 미국이 긴축적인 통화정책을 펴면 원자재 수출국의 수출이 큰 폭 줄어들 수 있다는 연구결과가..."
2921,2018.12.19.,"수주절벽 조금 풀리자…조선 빅2 노조 ""구조조정 멈추고 임금 올려라""",회복세를 띠고 있는 조선과 달리 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 현대중공업은 2014년 11월 아랍에미리트(UAE) 나스르 해양플랜트 이후 추가 수주가 끊겨 지난 8월 말부터...
2922,2018.12.19.,두달만에 40% 급락…한국경제 유가 폭락에 미끄러지나,미국 텍사스주의 한 지역에 위치한 원유 시추기. 사진=연합뉴스 제공[이데일리 김정남 기자] 예기치 못한 국제유가 폭락이 한국 경제의 돌발악재로 떠오르고 있다. 유가는 최근 두달여 만에 무려 40% 떨어졌다....
2923,2018.12.20.,두 달동안 40%나… 기름값 미끄러졌다,"하루만에 7% 폭락… 美 원유 공급 과잉·경기 둔화 겹쳐 '국제유가는 하락이 유일한 행로다.'(영국... 2014 ~2016년 유가 하락 시기에 오일산업 관련 일자리 16만개가 사라졌고, 수많은 시추업체가 부도났다. 흥국증권은..."
2924,2018.12.21.,"""미끄러지는 유가""…생산자물가 '뚝' 수출업종은 '초긴장'",유가가 떨어지면 해양플랜트와 시추선 발주가 줄어든다. 건설 역시 마찬가지다. 원유 수출을 주요 재정 수입원으로 삼는 중동에서 플랜트 수요가 급감하면 해외 매출이 부진해진다. 유가 하락으로 비용을 아낄 수...
2925,2018.12.25.,사라진 화이트 크리스마스…온난화에 지구촌 산타마을 '울상' [월드이슈],"가디언은 “상황이 이런데도 알래스카 상원의원은 원유 시추 공사를 늘리고, 북극의 해빙이 사업에 도움이 된다며 기후변화를 방조하고 있다”고 지적했다. AP연합뉴스산타에게 시민권을 주고 산타 웃음소리를 따..."
2926,2018.12.26.,대우조선 1.2조 드릴십 2척 앙골라 소낭골에 내년초 인도,"수주 5년만에 인도 확정 ""조기 경영정상화 청신호"" 대우조선해양이 수년째 팔지 못해 골칫거리였던 1조원 규모 '소낭골 드릴십(이동식 원유시추선·사진) 2기'를 내년 초 인도하며 장기 경영 리스크를 해소한다...."
2927,2018.12.27.,대우조선 애물단지 ‘소낭골 드릴십’ 인도,"앙골라 상황 개선에 협상 급물살… 2척 내년 1, 3월 순차적 보내기로 대금 9000억 확보… 재무개선 숨통 대우조선해양이 골칫거리였던 소낭골 드릴십(원유 시추선·사진)을 드디어 인도한다. 인도와 대금 지급이..."
2928,2018.12.27.,[기자수첩]조선사 노조도 변해야 산다,여기에 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 지난 2016·2017년 부진했던 수주량에 따라 내년에도 쉽지 않은 해가 될 것이라고 업계는 우려한다. 올해 수주 실적은 2020년이 돼서야...
2929,2019.01.01.,세계 1위 탈환한 '조선 빅3'…올 수주 목표 높인다,지난해 63억달러 규모의 선박 건조계약을 따내 목표(82억달러) 대비 달성률 77%를 기록한 삼성중공업은 원유와 가스 시추·생산 설비인 해양플랜트 수주 확대에 기대를 걸고 있다. 이 회사는 수주 잔량 기준으로...
2930,2018.12.17.,"""美 금리 인상하면…사우디 등 산유국 수출 직격탄""","- 한은, ''美 통화정책이 원자재 수출국·수입국에 미치는 영향'' 한 원유시추시설 모습. 사진=AFP[이데일리 김정현 기자] 미국이 긴축적인 통화정책을 펴면 원자재 수출국의 수출이 큰 폭 줄어들 수 있다는 연구결과가..."
2931,2018.12.19.,"수주절벽 조금 풀리자…조선 빅2 노조 ""구조조정 멈추고 임금 올려라""",회복세를 띠고 있는 조선과 달리 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 현대중공업은 2014년 11월 아랍에미리트(UAE) 나스르 해양플랜트 이후 추가 수주가 끊겨 지난 8월 말부터...
2932,2018.12.19.,두달만에 40% 급락…한국경제 유가 폭락에 미끄러지나,미국 텍사스주의 한 지역에 위치한 원유 시추기. 사진=연합뉴스 제공[이데일리 김정남 기자] 예기치 못한 국제유가 폭락이 한국 경제의 돌발악재로 떠오르고 있다. 유가는 최근 두달여 만에 무려 40% 떨어졌다....
2933,2018.12.20.,두 달동안 40%나… 기름값 미끄러졌다,"하루만에 7% 폭락… 美 원유 공급 과잉·경기 둔화 겹쳐 '국제유가는 하락이 유일한 행로다.'(영국... 2014 ~2016년 유가 하락 시기에 오일산업 관련 일자리 16만개가 사라졌고, 수많은 시추업체가 부도났다. 흥국증권은..."
2934,2018.12.21.,"""미끄러지는 유가""…생산자물가 '뚝' 수출업종은 '초긴장'",유가가 떨어지면 해양플랜트와 시추선 발주가 줄어든다. 건설 역시 마찬가지다. 원유 수출을 주요 재정 수입원으로 삼는 중동에서 플랜트 수요가 급감하면 해외 매출이 부진해진다. 유가 하락으로 비용을 아낄 수...
2935,2018.12.25.,사라진 화이트 크리스마스…온난화에 지구촌 산타마을 '울상' [월드이슈],"가디언은 “상황이 이런데도 알래스카 상원의원은 원유 시추 공사를 늘리고, 북극의 해빙이 사업에 도움이 된다며 기후변화를 방조하고 있다”고 지적했다. AP연합뉴스산타에게 시민권을 주고 산타 웃음소리를 따..."
2936,2018.12.26.,대우조선 1.2조 드릴십 2척 앙골라 소낭골에 내년초 인도,"수주 5년만에 인도 확정 ""조기 경영정상화 청신호"" 대우조선해양이 수년째 팔지 못해 골칫거리였던 1조원 규모 '소낭골 드릴십(이동식 원유시추선·사진) 2기'를 내년 초 인도하며 장기 경영 리스크를 해소한다...."
2937,2018.12.27.,대우조선 애물단지 ‘소낭골 드릴십’ 인도,"앙골라 상황 개선에 협상 급물살… 2척 내년 1, 3월 순차적 보내기로 대금 9000억 확보… 재무개선 숨통 대우조선해양이 골칫거리였던 소낭골 드릴십(원유 시추선·사진)을 드디어 인도한다. 인도와 대금 지급이..."
2938,2018.12.27.,[기자수첩]조선사 노조도 변해야 산다,여기에 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 지난 2016·2017년 부진했던 수주량에 따라 내년에도 쉽지 않은 해가 될 것이라고 업계는 우려한다. 올해 수주 실적은 2020년이 돼서야...
2939,2019.01.01.,세계 1위 탈환한 '조선 빅3'…올 수주 목표 높인다,지난해 63억달러 규모의 선박 건조계약을 따내 목표(82억달러) 대비 달성률 77%를 기록한 삼성중공업은 원유와 가스 시추·생산 설비인 해양플랜트 수주 확대에 기대를 걸고 있다. 이 회사는 수주 잔량 기준으로...
2940,2018.12.17.,"""美 금리 인상하면…사우디 등 산유국 수출 직격탄""","- 한은, ''美 통화정책이 원자재 수출국·수입국에 미치는 영향'' 한 원유시추시설 모습. 사진=AFP[이데일리 김정현 기자] 미국이 긴축적인 통화정책을 펴면 원자재 수출국의 수출이 큰 폭 줄어들 수 있다는 연구결과가..."
2941,2018.12.19.,"수주절벽 조금 풀리자…조선 빅2 노조 ""구조조정 멈추고 임금 올려라""",회복세를 띠고 있는 조선과 달리 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 현대중공업은 2014년 11월 아랍에미리트(UAE) 나스르 해양플랜트 이후 추가 수주가 끊겨 지난 8월 말부터...
2942,2018.12.19.,두달만에 40% 급락…한국경제 유가 폭락에 미끄러지나,미국 텍사스주의 한 지역에 위치한 원유 시추기. 사진=연합뉴스 제공[이데일리 김정남 기자] 예기치 못한 국제유가 폭락이 한국 경제의 돌발악재로 떠오르고 있다. 유가는 최근 두달여 만에 무려 40% 떨어졌다....
2943,2018.12.20.,두 달동안 40%나… 기름값 미끄러졌다,"하루만에 7% 폭락… 美 원유 공급 과잉·경기 둔화 겹쳐 '국제유가는 하락이 유일한 행로다.'(영국... 2014 ~2016년 유가 하락 시기에 오일산업 관련 일자리 16만개가 사라졌고, 수많은 시추업체가 부도났다. 흥국증권은..."
2944,2018.12.21.,"""미끄러지는 유가""…생산자물가 '뚝' 수출업종은 '초긴장'",유가가 떨어지면 해양플랜트와 시추선 발주가 줄어든다. 건설 역시 마찬가지다. 원유 수출을 주요 재정 수입원으로 삼는 중동에서 플랜트 수요가 급감하면 해외 매출이 부진해진다. 유가 하락으로 비용을 아낄 수...
2945,2018.12.25.,사라진 화이트 크리스마스…온난화에 지구촌 산타마을 '울상' [월드이슈],"가디언은 “상황이 이런데도 알래스카 상원의원은 원유 시추 공사를 늘리고, 북극의 해빙이 사업에 도움이 된다며 기후변화를 방조하고 있다”고 지적했다. AP연합뉴스산타에게 시민권을 주고 산타 웃음소리를 따..."
2946,2018.12.26.,대우조선 1.2조 드릴십 2척 앙골라 소낭골에 내년초 인도,"수주 5년만에 인도 확정 ""조기 경영정상화 청신호"" 대우조선해양이 수년째 팔지 못해 골칫거리였던 1조원 규모 '소낭골 드릴십(이동식 원유시추선·사진) 2기'를 내년 초 인도하며 장기 경영 리스크를 해소한다...."
2947,2018.12.27.,대우조선 애물단지 ‘소낭골 드릴십’ 인도,"앙골라 상황 개선에 협상 급물살… 2척 내년 1, 3월 순차적 보내기로 대금 9000억 확보… 재무개선 숨통 대우조선해양이 골칫거리였던 소낭골 드릴십(원유 시추선·사진)을 드디어 인도한다. 인도와 대금 지급이..."
2948,2018.12.27.,[기자수첩]조선사 노조도 변해야 산다,여기에 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 지난 2016·2017년 부진했던 수주량에 따라 내년에도 쉽지 않은 해가 될 것이라고 업계는 우려한다. 올해 수주 실적은 2020년이 돼서야...
2949,2019.01.01.,세계 1위 탈환한 '조선 빅3'…올 수주 목표 높인다,지난해 63억달러 규모의 선박 건조계약을 따내 목표(82억달러) 대비 달성률 77%를 기록한 삼성중공업은 원유와 가스 시추·생산 설비인 해양플랜트 수주 확대에 기대를 걸고 있다. 이 회사는 수주 잔량 기준으로...
2950,2018.12.17.,"""美 금리 인상하면…사우디 등 산유국 수출 직격탄""","- 한은, ''美 통화정책이 원자재 수출국·수입국에 미치는 영향'' 한 원유시추시설 모습. 사진=AFP[이데일리 김정현 기자] 미국이 긴축적인 통화정책을 펴면 원자재 수출국의 수출이 큰 폭 줄어들 수 있다는 연구결과가..."
2951,2018.12.19.,"수주절벽 조금 풀리자…조선 빅2 노조 ""구조조정 멈추고 임금 올려라""",회복세를 띠고 있는 조선과 달리 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 현대중공업은 2014년 11월 아랍에미리트(UAE) 나스르 해양플랜트 이후 추가 수주가 끊겨 지난 8월 말부터...
2952,2018.12.19.,두달만에 40% 급락…한국경제 유가 폭락에 미끄러지나,미국 텍사스주의 한 지역에 위치한 원유 시추기. 사진=연합뉴스 제공[이데일리 김정남 기자] 예기치 못한 국제유가 폭락이 한국 경제의 돌발악재로 떠오르고 있다. 유가는 최근 두달여 만에 무려 40% 떨어졌다....
2953,2018.12.20.,두 달동안 40%나… 기름값 미끄러졌다,"하루만에 7% 폭락… 美 원유 공급 과잉·경기 둔화 겹쳐 '국제유가는 하락이 유일한 행로다.'(영국... 2014 ~2016년 유가 하락 시기에 오일산업 관련 일자리 16만개가 사라졌고, 수많은 시추업체가 부도났다. 흥국증권은..."
2954,2018.12.21.,"""미끄러지는 유가""…생산자물가 '뚝' 수출업종은 '초긴장'",유가가 떨어지면 해양플랜트와 시추선 발주가 줄어든다. 건설 역시 마찬가지다. 원유 수출을 주요 재정 수입원으로 삼는 중동에서 플랜트 수요가 급감하면 해외 매출이 부진해진다. 유가 하락으로 비용을 아낄 수...
2955,2018.12.25.,사라진 화이트 크리스마스…온난화에 지구촌 산타마을 '울상' [월드이슈],"가디언은 “상황이 이런데도 알래스카 상원의원은 원유 시추 공사를 늘리고, 북극의 해빙이 사업에 도움이 된다며 기후변화를 방조하고 있다”고 지적했다. AP연합뉴스산타에게 시민권을 주고 산타 웃음소리를 따..."
2956,2018.12.26.,대우조선 1.2조 드릴십 2척 앙골라 소낭골에 내년초 인도,"수주 5년만에 인도 확정 ""조기 경영정상화 청신호"" 대우조선해양이 수년째 팔지 못해 골칫거리였던 1조원 규모 '소낭골 드릴십(이동식 원유시추선·사진) 2기'를 내년 초 인도하며 장기 경영 리스크를 해소한다...."
2957,2018.12.27.,대우조선 애물단지 ‘소낭골 드릴십’ 인도,"앙골라 상황 개선에 협상 급물살… 2척 내년 1, 3월 순차적 보내기로 대금 9000억 확보… 재무개선 숨통 대우조선해양이 골칫거리였던 소낭골 드릴십(원유 시추선·사진)을 드디어 인도한다. 인도와 대금 지급이..."
2958,2018.12.27.,[기자수첩]조선사 노조도 변해야 산다,여기에 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 지난 2016·2017년 부진했던 수주량에 따라 내년에도 쉽지 않은 해가 될 것이라고 업계는 우려한다. 올해 수주 실적은 2020년이 돼서야...
2959,2019.01.01.,세계 1위 탈환한 '조선 빅3'…올 수주 목표 높인다,지난해 63억달러 규모의 선박 건조계약을 따내 목표(82억달러) 대비 달성률 77%를 기록한 삼성중공업은 원유와 가스 시추·생산 설비인 해양플랜트 수주 확대에 기대를 걸고 있다. 이 회사는 수주 잔량 기준으로...
2960,2018.12.17.,"""美 금리 인상하면…사우디 등 산유국 수출 직격탄""","- 한은, ''美 통화정책이 원자재 수출국·수입국에 미치는 영향'' 한 원유시추시설 모습. 사진=AFP[이데일리 김정현 기자] 미국이 긴축적인 통화정책을 펴면 원자재 수출국의 수출이 큰 폭 줄어들 수 있다는 연구결과가..."
2961,2018.12.19.,"수주절벽 조금 풀리자…조선 빅2 노조 ""구조조정 멈추고 임금 올려라""",회복세를 띠고 있는 조선과 달리 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 현대중공업은 2014년 11월 아랍에미리트(UAE) 나스르 해양플랜트 이후 추가 수주가 끊겨 지난 8월 말부터...
2962,2018.12.19.,두달만에 40% 급락…한국경제 유가 폭락에 미끄러지나,미국 텍사스주의 한 지역에 위치한 원유 시추기. 사진=연합뉴스 제공[이데일리 김정남 기자] 예기치 못한 국제유가 폭락이 한국 경제의 돌발악재로 떠오르고 있다. 유가는 최근 두달여 만에 무려 40% 떨어졌다....
2963,2018.12.20.,두 달동안 40%나… 기름값 미끄러졌다,"하루만에 7% 폭락… 美 원유 공급 과잉·경기 둔화 겹쳐 '국제유가는 하락이 유일한 행로다.'(영국... 2014 ~2016년 유가 하락 시기에 오일산업 관련 일자리 16만개가 사라졌고, 수많은 시추업체가 부도났다. 흥국증권은..."
2964,2018.12.21.,"""미끄러지는 유가""…생산자물가 '뚝' 수출업종은 '초긴장'",유가가 떨어지면 해양플랜트와 시추선 발주가 줄어든다. 건설 역시 마찬가지다. 원유 수출을 주요 재정 수입원으로 삼는 중동에서 플랜트 수요가 급감하면 해외 매출이 부진해진다. 유가 하락으로 비용을 아낄 수...
2965,2018.12.25.,사라진 화이트 크리스마스…온난화에 지구촌 산타마을 '울상' [월드이슈],"가디언은 “상황이 이런데도 알래스카 상원의원은 원유 시추 공사를 늘리고, 북극의 해빙이 사업에 도움이 된다며 기후변화를 방조하고 있다”고 지적했다. AP연합뉴스산타에게 시민권을 주고 산타 웃음소리를 따..."
2966,2018.12.26.,대우조선 1.2조 드릴십 2척 앙골라 소낭골에 내년초 인도,"수주 5년만에 인도 확정 ""조기 경영정상화 청신호"" 대우조선해양이 수년째 팔지 못해 골칫거리였던 1조원 규모 '소낭골 드릴십(이동식 원유시추선·사진) 2기'를 내년 초 인도하며 장기 경영 리스크를 해소한다...."
2967,2018.12.27.,대우조선 애물단지 ‘소낭골 드릴십’ 인도,"앙골라 상황 개선에 협상 급물살… 2척 내년 1, 3월 순차적 보내기로 대금 9000억 확보… 재무개선 숨통 대우조선해양이 골칫거리였던 소낭골 드릴십(원유 시추선·사진)을 드디어 인도한다. 인도와 대금 지급이..."
2968,2018.12.27.,[기자수첩]조선사 노조도 변해야 산다,여기에 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 지난 2016·2017년 부진했던 수주량에 따라 내년에도 쉽지 않은 해가 될 것이라고 업계는 우려한다. 올해 수주 실적은 2020년이 돼서야...
2969,2019.01.01.,세계 1위 탈환한 '조선 빅3'…올 수주 목표 높인다,지난해 63억달러 규모의 선박 건조계약을 따내 목표(82억달러) 대비 달성률 77%를 기록한 삼성중공업은 원유와 가스 시추·생산 설비인 해양플랜트 수주 확대에 기대를 걸고 있다. 이 회사는 수주 잔량 기준으로...
2970,2018.12.17.,"""美 금리 인상하면…사우디 등 산유국 수출 직격탄""","- 한은, ''美 통화정책이 원자재 수출국·수입국에 미치는 영향'' 한 원유시추시설 모습. 사진=AFP[이데일리 김정현 기자] 미국이 긴축적인 통화정책을 펴면 원자재 수출국의 수출이 큰 폭 줄어들 수 있다는 연구결과가..."
2971,2018.12.19.,"수주절벽 조금 풀리자…조선 빅2 노조 ""구조조정 멈추고 임금 올려라""",회복세를 띠고 있는 조선과 달리 해양플랜트(원유 및 가스 시추 설비) 부문은 여전히 일감 부족에 허덕이고 있다. 현대중공업은 2014년 11월 아랍에미리트(UAE) 나스르 해양플랜트 이후 추가 수주가 끊겨 지난 8월 말부터...
